id;gender;status;employed;income;extraIncome;expenses;buy
LP0010050;Male;No;No;43534;0;;Y
LP0010051;Male;;No;4583;1508;1111;N
LP0010052;Male;Yes;Yes;43534;0;5345;Y
LP0010053;Male;Yes;No;2583;2358;120;Y
LP0010054;Male;No;No;;0;141;Y
LP0010055;Male;Yes;Yes;5417;4196;5654;Y
LP0010056;Male;Yes;No;324324;;23323;Y
LP0010057;Male;;No;3036;2504;;
LP0010058;Male;Yes;Yes;3434;3434;168;Y
LP0010059;Male;Yes;No;12841;3434;349;N
LP0010060;Male;;Yes;4444;34343;;
LP0010061;Male;Yes;No;5676;1526;168;Y
LP0010062;Male;Yes;Yes;3434;3467;55465;N
LP0010063;Male;Yes;No;21212;700;70;Y
LP0010064;Male;;;564;6792;109;Y
LP0010065;Male;Yes;No;23243;7786;4544;Y
LP0010066;Male;No;No;;;114;N
LP0010067;Male;Yes;No;6556;6677;32323;N
LP0010068;Male;Yes;No;2232;56543;141;N
LP0010069;Male;Yes;No;32232;10968;349;N
